12S_seq_number	AHi_12S_5.C2.S1540.L007	AHi_12S_8.C4.S900.L007	AHi_12S_AN1H.S1214.L007	AHi_12S_AN2C.S1215.L007	AHi_12S_ANB2.S1217.L007	AHi_12S_C1g.S885.L007	count	forward	reverse	merged	sumtax
reverse_12S_231	13	16	0	0	0	31	60		reverse		
reverse_12S_232	50	2	0	0	0	7	59		reverse		
reverse_12S_233	49	5	0	0	0	5	59		reverse		
reverse_12S_234	37	1	0	0	1	20	59		reverse		
reverse_12S_235	11	4	0	0	0	44	59		reverse		
reverse_12S_236	8	0	0	0	1	50	59		reverse		
merged_12S_90	0	58	0	0	0	0	58			merged	Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
reverse_12S_237	58	0	0	0	0	0	58		reverse		
reverse_12S_238	54	3	0	0	0	1	58		reverse		
reverse_12S_239	36	9	0	0	0	13	58		reverse		
reverse_12S_240	35	7	0	0	0	16	58		reverse		
reverse_12S_241	17	4	0	0	0	37	58		reverse		
merged_12S_91	0	0	17	0	40	0	57			merged	Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistapus;Balistapus undulatus
merged_12S_92	0	0	0	0	57	0	57			merged	Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;
reverse_12S_242	31	12	0	0	0	14	57		reverse		
reverse_12S_243	22	13	0	0	0	22	57		reverse		
reverse_12S_244	6	3	0	0	0	48	57		reverse		
reverse_12S_245	9	28	0	0	0	19	56		reverse		
reverse_12S_246	6	2	0	0	0	48	56		reverse		
reverse_12S_247	47	6	0	0	0	2	55		reverse		
reverse_12S_248	30	10	0	0	0	15	55		reverse		
reverse_12S_249	5	5	0	0	0	45	55		reverse		
reverse_12S_250	45	3	0	0	0	6	54		reverse		
reverse_12S_251	26	10	0	0	0	18	54		reverse		
reverse_12S_252	18	3	0	0	0	33	54		reverse		
reverse_12S_253	12	2	0	0	0	40	54		reverse		
reverse_12S_254	18	14	0	0	0	21	53		reverse		
reverse_12S_255	8	12	0	0	0	33	53		reverse		
reverse_12S_256	8	10	0	0	0	35	53		reverse		
reverse_12S_257	41	4	0	0	0	7	52		reverse		
reverse_12S_258	32	8	0	0	0	12	52		reverse		
reverse_12S_259	26	10	0	0	0	16	52		reverse		
reverse_12S_260	19	11	0	0	0	22	52		reverse		
reverse_12S_261	11	18	0	0	0	23	52		reverse		
reverse_12S_262	6	12	0	0	0	34	52		reverse		
reverse_12S_263	31	7	0	0	1	11	50		reverse		
reverse_12S_264	24	5	0	0	0	21	50		reverse		
reverse_12S_265	7	8	0	0	0	35	50		reverse		
reverse_12S_266	22	6	0	0	0	21	49		reverse		
reverse_12S_267	12	1	0	0	0	36	49		reverse		
reverse_12S_268	9	0	0	0	0	40	49		reverse		
reverse_12S_269	8	10	0	0	1	30	49		reverse		
reverse_12S_270	29	4	0	0	0	15	48		reverse		
reverse_12S_271	25	12	0	0	0	11	48		reverse		
reverse_12S_272	23	10	0	0	0	15	48		reverse		
