	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		forward	merged	reverse	unmerged	All	forward	reverse	unmerged	All
148	Arthropoda;Insecta;Hymenoptera;Braconidae;Meteorus;Meteorus abscissus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	155.0
149	Arthropoda;Insecta;Hymenoptera;Crabronidae;;Crabronidae sp. sc_04754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0
150	Arthropoda;Insecta;Hymenoptera;Formicidae;Camponotus	0.0	0.0	0.0	0.0	0.0	2.0	0.0	53.0	55.0
151	Arthropoda;Insecta;Hymenoptera;Formicidae;Odontomachus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	58.0
152	Arthropoda;Insecta;Hymenoptera;Formicidae;Pheidole;Pheidole sp. YT01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
153	Arthropoda;Insecta;Hymenoptera;Formicidae;Veromessor;Veromessor andrei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	96.0
154	Arthropoda;Insecta;Hymenoptera;Ichneumonidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	409.0	409.0
155	Arthropoda;Insecta;Hymenoptera;Tenthredinidae;Athalia;Athalia bicolor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	36.0
156	Arthropoda;Insecta;Lepidoptera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2060.0	2060.0
157	Arthropoda;Insecta;Lepidoptera;;;Lepidoptera sp. BOLD:AAA1142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0
158	Arthropoda;Insecta;Lepidoptera;;;Lepidoptera sp. BOLD:AAA6720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
159	Arthropoda;Insecta;Lepidoptera;Geometridae;Casbia;Casbia sp. BOLD:AAF9584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	43.0
160	Arthropoda;Insecta;Lepidoptera;Geometridae;Cleora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	43.0
161	Arthropoda;Insecta;Lepidoptera;Lymantriidae;;Lymantriidae sp. BOLD:AAL8802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0
162	Arthropoda;Insecta;Lepidoptera;Noctuidae;Acantholipes;Acantholipes sp. BOLD:AAQ0223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
163	Arthropoda;Insecta;Lepidoptera;Noctuidae;Orthosia;Orthosia praeses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	59.0
164	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Euphydryas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
165	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Euphydryas;Euphydryas chalcedona	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	59.0
166	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Hamadryas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
167	Arthropoda;Insecta;Lepidoptera;Riodinidae;Emesis;Emesis sp. mandanaDHJ01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
168	Arthropoda;Insecta;Lepidoptera;Uraniidae;Acropteris;Acropteris nanula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	24.0
