	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
104	Arthropoda;Arachnida;Araneae;Linyphiidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
105	Arthropoda;Arachnida;Araneae;Linyphiidae;Erigone;Erigone psychrophila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
106	Arthropoda;Arachnida;Araneae;Micropholcommatidae;Raveniella;Raveniella cirrata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
107	Arthropoda;Arachnida;Araneae;Mimetidae;Gelanor;Gelanor sp. GH1254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
108	Arthropoda;Arachnida;Araneae;Nemesiidae;Aname;Aname sp. MYG271	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0
109	Arthropoda;Arachnida;Araneae;Philodromidae;Thanatus;Thanatus vulgaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
110	Arthropoda;Arachnida;Araneae;Thomisidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
111	Arthropoda;Arachnida;Araneae;Thomisidae;Xysticus	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
112	Arthropoda;Arachnida;Araneae;Zorocratidae;Zorodictyna;Zorodictyna sp. CG300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
113	Arthropoda;Arachnida;Astigmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
114	Arthropoda;Arachnida;Astigmata;Proctophyllodidae;Proctophyllodes;Proctophyllodes motacillae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
115	Arthropoda;Arachnida;Mesostigmata;Laelapidae;Laelaps;Laelaps giganteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
116	Arthropoda;Arachnida;Scorpiones	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
117	Arthropoda;Arachnida;Scorpiones;Vaejovidae;Chihuahuanus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
