	taxon	land1_Hi_sk	land2_Hi_sk	land3_Hi_sk	sea1_Hi_sk	sea2_Hi_sk	sea3_Hi_sk	land1_Hi_b2	land2_Hi_b2	land3_Hi_b2	sea1_Hi_b2	sea2_Hi_b2	sea3_Hi_b2	land1_Hi_bl	land2_Hi_bl	land3_Hi_bl	sea1_Hi_bl	sea2_Hi_bl	sea3_Hi_bl	land1_Hi_vs	land2_Hi_vs	land3_Hi_vs	sea1_Hi_vs	sea2_Hi_vs	sea3_Hi_vs
67	Streptophyta;;Asterales;Asteraceae;Rafinesquia;Rafinesquia californica	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
68	Streptophyta;;Asterales;Campanulaceae;Lobelia;Lobelia holstii	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
69	Streptophyta;;Boraginales;Boraginaceae	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
70	Streptophyta;;Boraginales;Boraginaceae;Cryptantha;Cryptantha muricata	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71	Streptophyta;;Boraginales;Hydrophyllaceae	3.0	319.0	396.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
72	Streptophyta;;Boraginales;Hydrophyllaceae;Phacelia	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
73	Streptophyta;;Boraginales;Hydrophyllaceae;Phacelia;Phacelia hirsuta	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74	Streptophyta;;Brassicales;Brassicaceae;Cardamine	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75	Streptophyta;;Caryophyllales	1832.0	1964.0	5389.0	0.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	1969.0	1.0	0.0	0.0	0.0
76	Streptophyta;;Caryophyllales;Aizoaceae	358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
77	Streptophyta;;Caryophyllales;Aizoaceae;Tetragonia;Tetragonia tetragonioides	10035.0	151.0	16380.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
78	Streptophyta;;Caryophyllales;Anacampserotaceae;Grahamia;Grahamia bracteata	2.0	0.0	10840.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79	Streptophyta;;Caryophyllales;Cactaceae;Opuntia	0.0	0.0	423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
80	Streptophyta;;Caryophyllales;Caryophyllaceae;Corrigiola;Corrigiola litoralis	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81	Streptophyta;;Caryophyllales;Caryophyllaceae;Herniaria;Herniaria ciliolata	2.0	10.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82	Streptophyta;;Caryophyllales;Caryophyllaceae;Herniaria;Herniaria glabra	8629.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
83	Streptophyta;;Caryophyllales;Caryophyllaceae;Paronychia;Paronychia lindheimeri	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
84	Streptophyta;;Caryophyllales;Montiaceae;Claytonia	30207.0	23732.0	35077.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
85	Streptophyta;;Caryophyllales;Montiaceae;Claytonia;Claytonia peirsonii	87.0	2.0	880.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
