	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
133	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
134	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas ferruginea	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
135	Bacteroidetes;Cytophagia;Cytophagales	11.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0
136	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
137	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;Cytophaga hutchinsonii	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
138	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;Dyadobacter fermentans	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;Flexibacter flexilis	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
140	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae	4.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
141	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter terreus	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
142	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	6.0	0.0	0.0	0.0	24.0	0.0	0.0	6.0
143	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp.	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
144	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Siccationidurans;Siccationidurans antarcticus	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
145	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
146	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	2.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0
147	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
148	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	4.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0
149	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
150	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	2.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0
151	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter gynuensis	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
152	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter sp.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
153	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	8.0	0.0	0.0	0.0	14.0	0.0	0.0	5.0
154	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter sp.	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
155	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;Solitalea canadensis	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
156	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia;Naganishia albida	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
157	Chloroflexi;;;;Kouleothrix;Kouleothrix aurantiaca	25.0	0.0	0.0	0.0	59.0	0.0	0.0	28.0
158	Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;;Caldilineaceae bacterium enrichment culture clone Ac-G2	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
159	Chloroflexi;Thermomicrobia	2.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0
160	Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Sphaerobacter thermophilus	31.0	0.0	0.0	0.0	50.0	0.0	0.0	11.0
161	Chlorophyta;Chlorophyceae;Chlorosarcinales;;Chlorosarcina;Chlorosarcina brevispinosa	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
162	Chlorophyta;Trebouxiophyceae;;;Myrmecia;Myrmecia israelensis	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
163	Cyanobacteria	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
164	Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus sp.	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
165	Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccus sp. 138	2.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
166	Firmicutes	20.0	0.0	0.0	0.0	6.0	0.0	0.0	21.0
167	Firmicutes;Bacilli	118.0	0.0	0.0	0.0	10.0	0.0	0.0	3.0
168	Firmicutes;Bacilli;Bacillales	48.0	0.0	0.0	0.0	10.0	0.0	0.0	5.0
169	Firmicutes;Bacilli;Bacillales;;Exiguobacterium	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
