	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		Forward	merged	reverse	All	forward	merged	reverse	unmerged	All
95	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia	23.0	0.0	0.0	23.0	134.0	0.0	0.0	594.0	728.0
96	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia carboxydivorans	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
97	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia halophobica	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
98	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;Pseudonocardia sp.	82.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0
99	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora	12.0	0.0	0.0	12.0	18.0	0.0	0.0	0.0	18.0
100	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharothrix	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
101	Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Umezawaea;Umezawaea tangerina	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
102	Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	74.0	0.0	0.0	74.0	117.0	0.0	0.0	327.0	444.0
103	Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae	3.0	0.0	0.0	3.0	10.0	0.0	0.0	0.0	10.0
104	Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus;Actinoallomurus sp.	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
105	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter	4.0	0.0	0.0	4.0	591.0	0.0	0.0	1413.0	2004.0
106	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter radiotolerans	76.0	0.0	0.0	76.0	10.0	0.0	0.0	11.0	21.0
107	Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter xylanophilus	202.0	0.0	0.0	202.0	101.0	0.0	0.0	104.0	205.0
108	Actinobacteria;Thermoleophilia;Solirubrobacterales	436.0	0.0	0.0	436.0	565.0	0.0	0.0	531.0	1096.0
109	Actinobacteria;Thermoleophilia;Solirubrobacterales;;;Solirubrobacterales bacterium	25.0	0.0	0.0	25.0	34.0	0.0	0.0	15.0	49.0
110	Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter	148.0	0.0	0.0	148.0	129.0	0.0	0.0	161.0	290.0
111	Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae;Conexibacter;Conexibacter woesei	34.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
112	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter	209.0	0.0	0.0	209.0	293.0	0.0	0.0	575.0	868.0
113	Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;Solirubrobacter phytolaccae	79.0	0.0	0.0	79.0	7.0	0.0	0.0	0.0	7.0
114	Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;Armatimonas rosea	2.0	0.0	0.0	2.0	54.0	0.0	0.0	0.0	54.0
115	Ascomycota	2.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	5.0
